ID_UTE,Fecha,Indicador
ES050UTEG,01/01/2019,0.44
ES050UTEG,01/02/2019,0.45
ES050UTEG,01/03/2019,0.47
ES050UTEG,01/04/2019,0.45
ES050UTEG,01/05/2019,0.39
ES050UTEG,01/06/2019,0.39
ES050UTEG,01/07/2019,0.39
ES050UTEG,01/08/2019,0.36
ES050UTEG,01/09/2019,0.35
ES050UTEG,01/10/2019,0.351
ES050UTEG,01/11/2019,0.246
ES050UTEG,01/12/2019,0.26
ES050UTEG,01/01/2020,0.346
ES050UTEG,01/02/2020,0.368
ES050UTEG,01/03/2020,0.371
ES050UTEG,01/04/2020,0.372
ES050UTEG,01/05/2020,0.392
ES050UTEG,01/06/2020,0.372
ES050UTEG,01/07/2020,0.362
ES050UTEG,01/08/2020,0.337
ES050UTEG,01/09/2020,0.318
ES050UTEG,01/10/2020,0.294
ES050UTEG,01/11/2020,0.215
ES050UTEG,01/12/2020,0.219
ES050UTEG,01/01/2021,0.237
ES050UTEG,01/02/2021,0.274
ES050UTEG,01/03/2021,0.32
ES050UTEG,01/04/2021,0.325
ES050UTEG,01/05/2021,0.298
ES050UTEG,01/06/2021,0.302
ES050UTEG,01/07/2021,0.292
ES050UTEG,01/08/2021,0.266
ES050UTEG,01/09/2021,0.25
ES050UTEG,01/10/2021,0.184
ES050UTEG,01/11/2021,0.174
ES050UTEG,01/12/2021,0.174
ES050UTEG,01/01/2022,0.192
ES050UTEG,01/02/2022,0.194
ES050UTEG,01/03/2022,0.192
ES050UTEG,01/04/2022,0.21
ES050UTEG,01/05/2022,0.23
ES050UTEG,01/06/2022,0.246
ES050UTEG,01/07/2022,0.236
ES050UTEG,01/08/2022,0.217
ES050UTEG,01/09/2022,0.196
ES050UTEG,01/10/2022,0.2
ES050UTEG,01/11/2022,0.096
ES050UTEG,01/12/2022,0.093
ES050UTEG,01/01/2023,0.158
ES050UTEG,01/02/2023,0.169
ES050UTEG,01/03/2023,0.17
ES050UTEG,01/04/2023,0.168
ES050UTEG,01/05/2023,0.184
ES050UTEG,01/06/2023,0.183
ES050UTEG,01/07/2023,0.192
ES050UTEG,01/08/2023,0.17
ES050UTEG,01/09/2023,0.157
ES050UTEG,01/11/2023,0.077
ES050UTEG,01/11/2023,0.077
