fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
1985-10,76,36.0(27),7,78.0,0.0,0.0,5.3,1028.3(11),2.0,1020.0,1019.4,13.5,28.4(03),18.6,0.0,0.0,4,04/20.0(27),7.0,20,47.0,0.0,12.0,8.0(30),144.0,168.0,1.0,0.0,571.0,170.8,12.0,8.0,9.0,0.0,16.8,0.0,18.3,23.1,0.0,1008.4(31),10.0,
1985-11,76,36.8(12),9,76.0,0.0,0.0,4.2,1025.7(14),1.0,1013.7,1013.1,6.3,24.8(05),13.0,0.0,0.0,2,26/16.9(01),3.0,19,43.0,0.0,8.0,-1.4(20),164.0,104.0,1.0,0.0,464.0,81.8,10.0,2.0,9.0,2.0,8.4,0.0,10.9,15.4,0.0,1003.3(12),8.0,
1985-12,76,25.2(08),3,75.0,0.0,1.0,5.3,1030.3(02),0.0,1018.9,1018.3,4.8,21.6(03),7.8,0.0,0.0,10,06/15.0(29),1.0,18,57.0,0.0,7.0,-1.4(31),154.0,92.0,0.0,0.0,522.0,37.2,9.0,1.0,10.0,1.0,8.0,0.0,10.1,15.4,0.0,998.9(28),5.0,
1985-13,76,37.9(21/abr),63,73.0,,5.0,,1032.5(23/feb),,1016.0,1015.4,10.4,33.5(29/jul),21.6,2.0,0.0,70,,16.0,232,,,66.0,-7.2(16/ene),,142.0,4.0,0.0,,511.7,,25.0,12.0,19.0,0.8,,15.1,19.8,0.0,,57.0,
1985-1,76,5.3(12),10,68.0,,0.0,3.8,1028.8(30),2.0,1012.6,1012.0,0.4,16.6(23),8.0,0.0,0.0,5,27/20.0(18),0.0,16,40.0,0.0,4.0,-7.2(16),235.0,66.0,0.0,0.0,,11.1,,0.0,13.0,16.0,0.8,,5.1,9.9,0.0,997.9(18),3.0,
1985-2,76,7.8(18),7,73.0,,3.0,4.9,1032.5(23),2.0,1017.7,1017.1,6.1,22.2(15),11.6,0.0,0.0,2,29/21.9(13),0.0,19,46.0,0.0,3.0,2.0(24),180.0,96.0,0.0,0.0,717.0,16.3,,0.0,10.0,0.0,9.4,,10.6,15.2,0.0,992.3(11),3.0,
1985-3,76,23.0(15),5,65.0,,0.0,6.8,1026.5(09),,1014.8,1014.1,5.1,19.0(27),10.0,0.0,0.0,4,,1.0,22,57.0,,7.0,0.6(19),,84.0,0.0,0.0,,32.7,,2.0,15.0,0.0,8.0,,10.1,15.1,0.0,992.8(21),7.0,
1985-4,76,37.9(21),8,70.0,,0.0,7.3,1024.8(02),1.0,1014.2,1013.6,8.4,22.5(09),11.6,0.0,0.0,8,29/16.4(09),1.0,14,55.0,0.0,5.0,5.2(15),216.0,114.0,1.0,0.0,786.0,52.3,,1.0,15.0,0.0,14.0,,13.2,18.0,0.0,999.6(21),4.0,
1985-5,76,31.0(16),7,74.0,,0.0,6.6,1018.4(01),2.0,1012.4,1011.8,10.6,23.7(29),15.0,0.0,0.0,1,29/20.0(05),3.0,23,46.0,0.0,9.0,5.5(12),176.0,133.0,1.0,0.0,660.0,70.1,,4.0,13.0,0.0,13.6,,14.8,19.0,0.0,997.2(06),8.0,
1985-6,76,6.5(27),2,77.0,0.0,0.0,8.3,1021.6(25),1.0,1015.8,1015.2,15.6,26.0(30),18.0,0.0,0.0,1,09/16.1(19),0.0,27,55.0,0.0,6.0,13.0(09),175.0,192.0,0.0,0.0,641.0,21.7,9.0,2.0,14.0,0.0,21.6,0.0,19.7,23.8,0.0,,5.0,
