fecha,tmed,prec,tmin,tmax
1973-12-31,12.54,1.3,6.44,18.6
1974-12-31,12.48,1.45,6.7,18.24
1975-12-31,12.54,1.6,6.86,18.19
1976-12-31,12.63,1.67,6.91,18.35
1977-12-31,12.57,1.81,7.13,17.97
1978-12-31,12.76,1.75,6.97,18.48
1979-12-31,12.97,1.91,7.39,18.45
1980-12-31,12.76,1.31,6.77,18.64
1981-12-31,12.83,1.43,6.83,18.8
1982-12-31,13.43,1.4,7.7,19.15
1983-12-31,13.44,1.25,7.34,19.54
1984-12-31,12.54,1.69,6.77,18.31
1985-12-31,13.22,1.34,7.15,19.28
1986-12-31,13.21,1.28,7.27,19.15
1987-12-31,13.64,1.67,7.87,19.39
1988-12-31,13.15,1.51,7.32,18.97
1989-12-31,13.95,1.71,8.0,19.91
1990-12-31,13.62,1.16,7.66,19.58
1991-12-31,12.91,1.18,6.97,18.83
1992-12-31,12.52,1.34,6.55,18.48
1993-12-31,12.17,1.36,6.4,17.94
1994-12-31,13.46,1.21,7.34,19.58
1995-12-31,13.83,1.31,7.73,19.91
1996-12-31,12.73,1.79,7.02,18.44
1997-12-31,13.86,1.83,8.0,19.72
1998-12-31,13.14,1.14,7.03,19.26
1999-12-31,13.1,1.35,7.15,19.06
2000-12-31,13.24,1.54,7.14,19.35
2001-12-31,13.18,1.36,7.21,19.16
2002-12-31,13.28,1.62,7.5,19.05
2003-12-31,13.63,1.68,7.77,19.5
2004-12-31,13.03,1.33,7.1,18.97
2005-12-31,13.03,1.06,6.71,19.35
2006-12-31,13.84,1.45,7.8,19.88
2007-12-31,13.0,1.34,6.86,19.13
2008-12-31,12.79,1.58,6.82,18.76
2009-12-31,13.97,1.34,7.72,20.22
2010-12-31,13.02,1.89,7.26,18.78
2011-12-31,14.08,1.31,7.87,20.3
2012-12-31,13.27,1.23,6.94,19.61
2013-12-31,12.89,1.81,7.01,18.78
2014-12-31,13.88,1.71,7.97,19.78
2015-12-31,14.09,1.24,7.73,20.45
2016-12-31,13.62,1.68,7.58,19.67
2017-12-31,14.25,1.14,7.47,21.04
2018-12-31,13.59,1.89,7.75,19.45
2019-12-31,13.97,1.51,7.5,20.45
2020-12-31,14.2,1.56,8.09,20.32
2021-12-31,13.69,1.53,7.53,19.84
2022-12-31,14.95,1.37,8.56,21.35
