Fecha,Indicador
01/01/2019,0.44
01/02/2019,0.45
01/03/2019,0.47
01/04/2019,0.45
01/05/2019,0.39
01/06/2019,0.39
01/07/2019,0.39
01/08/2019,0.36
01/09/2019,0.35
01/10/2019,0.351
01/11/2019,0.246
01/12/2019,0.26
01/01/2020,0.346
01/02/2020,0.368
01/03/2020,0.371
01/04/2020,0.372
01/05/2020,0.392
01/06/2020,0.372
01/07/2020,0.362
01/08/2020,0.337
01/09/2020,0.318
01/10/2020,0.294
01/11/2020,0.215
01/12/2020,0.219
01/01/2021,0.237
01/02/2021,0.274
01/03/2021,0.32
01/04/2021,0.325
01/05/2021,0.298
01/06/2021,0.302
01/07/2021,0.292
01/08/2021,0.266
01/09/2021,0.25
01/10/2021,0.184
01/11/2021,0.174
01/12/2021,0.174
01/01/2022,0.192
01/02/2022,0.194
01/03/2022,0.192
01/04/2022,0.21
01/05/2022,0.23
01/06/2022,0.246
01/07/2022,0.236
01/08/2022,0.217
01/09/2022,0.196
01/10/2022,0.2
01/11/2022,0.096
01/12/2022,0.093
01/01/2023,0.158
01/02/2023,0.169
01/03/2023,0.17
01/04/2023,0.168
01/05/2023,0.184
01/06/2023,0.183
01/07/2023,0.192
01/08/2023,0.17
01/09/2023,0.157
01/11/2023,0.077
01/11/2023,0.077
