fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,nw_55,w_racha,nw_91,ts_20,ts_10,ts_50
1985-10,1505,10.0(03),2.0,74.0,0.0,16.0,6.2,975.9(08),1020.6,968.4,6.2,27.4(13),12.0,0.0,0.0,7.0,1.0,22.0,56.0,4.0,-1.4(30),175.0,118.0,0.0,15.0,655.0,17.2,4.0,1.0,9.0,1.0,14.6,0.0,13.5,20.8,0.0,959.0(31),4.0,,,,,,
1985-11,1505,28.0(08),14.0,79.0,0.0,4.0,3.0,974.0(17),1015.6,962.5,3.2,20.0(07),16.0,0.0,0.0,2.0,3.0,14.0,31.0,13.0,-5.6(24),276.0,90.0,0.0,2.0,543.0,103.0,14.0,2.0,13.0,12.0,5.6,0.0,7.9,12.5,0.0,946.7(04),10.0,,,,,,
1985-12,1505,20.0(24),17.0,83.0,1.0,9.0,2.4,980.3(13),1018.9,965.5,3.0,23.4(02),16.0,0.0,0.0,3.0,6.0,11.0,26.0,19.0,-3.4(17),253.0,84.0,0.0,7.0,718.0,151.8,18.0,1.0,11.0,10.0,5.2,0.0,7.1,11.2,0.0,945.3(28),15.0,,,,,,
1985-13,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-1,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-2,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-3,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-4,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-5,1505,12.6(15),16.0,77.0,3.0,4.0,4.6,972.5(09),1015.0,962.6,5.5,22.6(19),11.4,0.0,0.0,0.0,1.0,14.0,31.0,16.0,0.0(10),202.0,107.0,0.0,2.0,584.0,62.6,14.0,4.0,11.0,1.0,10.0,1.0,10.9,16.4,0.0,955.7(15),13.0,,,,,,
1985-6,1505,22.1(07),12.0,78.0,0.0,8.0,6.4,974.0(26),1017.1,965.4,9.4,28.2(30),12.0,0.0,0.0,1.0,3.0,17.0,41.0,10.0,3.6(10),220.0,141.0,0.0,3.0,704.0,67.5,11.0,2.0,11.0,0.0,15.0,0.0,15.2,20.9,0.0,956.8(05),8.0,,,,,,
1985-7,1505,9.9(03),11.0,78.0,0.0,7.0,6.7,971.9(05),1017.6,966.4,12.1,33.0(12),16.2,2.0,0.0,3.0,0.0,17.0,45.0,12.0,6.4(27),247.0,165.0,0.0,5.0,695.0,29.1,12.0,2.0,12.0,0.0,16.0,0.0,17.9,23.6,0.0,957.3(28),5.0,,,,,,
1985-8,1505,3.3(24),4.0,68.0,0.0,15.0,8.7,973.9(22),1019.3,967.9,8.8,32.2(17),14.2,4.0,0.0,6.0,0.0,21.0,63.0,8.0,1.6(26),205.0,137.0,0.0,10.0,948.0,11.4,8.0,0.0,10.0,0.0,18.6,0.0,16.9,25.0,0.0,961.3(08),7.0,,,,,,
1985-9,1505,2.1(30),2.0,69.0,,15.0,6.9,974.6(03),1019.3,968.2,9.7,34.6(11),13.8,9.0,2.0,3.0,0.0,25.0,55.0,5.0,5.0(04),190.0,149.0,0.0,12.0,1003.0,3.5,,2.0,9.0,0.0,16.8,,18.5,27.2,0.0,963.4(09),1.0,,,,,,
1986-10,1505,18.5(22),8.0,80.0,0.0,18.0,4.6,978.6(26),1021.0,968.8,7.7,26.4(06),13.2,0.0,0.0,2.0,1.0,21.0,41.0,12.0,1.0(24),169.0,129.0,0.0,17.0,402.0,41.2,13.0,1.0,8.0,0.0,13.4,0.0,13.6,19.5,0.0,961.2(24),9.0,1.0,23/16.1(22),0.0,,,
1986-11,1505,31.9(10),11.0,83.0,0.0,8.0,3.6,980.6(26),1023.7,970.2,3.3,18.2(07),11.2,0.0,0.0,5.0,4.0,14.0,37.0,16.0,-4.4(29),193.0,92.0,1.0,6.0,372.0,117.6,17.0,0.0,8.0,9.0,9.6,0.0,8.3,13.3,0.0,945.9(14),13.0,2.0,18/18.1(13),0.0,,,
1986-12,1505,16.0(21),17.0,79.0,0.0,2.0,2.7,984.1(24),1027.8,973.9,2.8,16.2(03),10.6,0.0,0.0,4.0,3.0,10.0,30.0,22.0,-4.2(29),232.0,83.0,0.0,1.0,497.0,77.1,23.0,0.0,10.0,10.0,6.0,1.0,7.2,11.6,0.0,950.6(08),15.0,2.0,18/21.1(07),0.0,,,
1986-13,1505,49.8(14/sep),159.0,77.0,2.0,80.0,4.5,985.4(12/ene),1019.1,966.5,6.1,35.0(16/jul),16.4,7.0,0.0,21.0,31.0,185.0,36.0,176.0,-5.0(10/feb),248.0,108.0,4.0,68.0,7518.0,996.5,180.0,6.0,12.0,49.0,3.4,9.0,11.3,16.5,0.0,928.7(17/feb),132.0,,,,,,
1986-1,1505,25.5(02),18.0,87.0,0.0,5.0,1.5,985.4(12),1022.7,968.8,2.2,13.6(18),8.4,0.0,0.0,0.0,6.0,13.0,16.0,22.0,-3.0(04),243.0,83.0,0.0,7.0,287.0,172.7,19.0,0.0,12.0,7.0,3.4,3.0,5.8,9.4,0.0,944.0(30),19.0,,,,,,
1986-2,1505,30.0(16),20.0,82.0,1.0,1.0,1.7,969.5(11),1008.3,955.1,2.8,14.0(20),7.8,0.0,0.0,0.0,7.0,8.0,16.0,25.0,-5.0(10),256.0,79.0,1.0,0.0,379.0,205.2,23.0,0.0,12.0,6.0,4.4,1.0,6.1,9.4,0.0,928.7(17),23.0,7.0,23/21.9(23),0.0,,,
1986-3,1505,11.0(12),18.0,77.0,0.0,4.0,3.2,981.0(21),1020.4,967.0,2.5,18.4(05),9.0,0.0,0.0,2.0,1.0,11.0,27.0,22.0,-2.2(03),252.0,82.0,0.0,4.0,542.0,60.5,23.0,0.0,13.0,7.0,8.4,1.0,7.5,12.6,0.0,943.6(01),15.0,5.0,23/23.1(24),0.0,,,
1986-4,1505,13.1(21),19.0,77.0,1.0,3.0,3.7,972.6(30),1014.6,961.3,1.9,16.8(30),7.4,0.0,0.0,0.0,3.0,11.0,28.0,18.0,-4.6(13),311.0,75.0,0.0,3.0,525.0,93.9,14.0,2.0,15.0,10.0,7.0,3.0,6.4,10.9,0.0,947.9(15),14.0,5.0,02/18.9(06),0.0,,,
1986-5,1505,9.8(15),12.0,71.0,0.0,6.0,6.2,974.6(30),1018.3,966.2,7.5,26.6(10),13.0,0.0,0.0,0.0,0.0,19.0,43.0,14.0,2.8(03),294.0,111.0,0.0,5.0,937.0,43.2,16.0,1.0,15.0,0.0,10.6,0.0,13.2,18.9,0.0,951.7(04),8.0,5.0,23/17.2(04),0.0,,,
1986-6,1505,6.2(21),10.0,70.0,0.0,6.0,7.5,973.2(11),1017.4,965.7,8.7,29.8(15),13.8,0.0,0.0,2.0,0.0,18.0,49.0,4.0,1.4(07),265.0,125.0,0.0,1.0,974.0,18.9,6.0,0.0,14.0,0.0,15.4,0.0,15.2,21.6,0.0,957.1(20),3.0,0.0,16/15.0(22),0.0,,,
1986-7,1505,0.1(06),6.0,72.0,0.0,11.0,8.0,973.6(18),1019.2,967.9,11.7,35.0(16),14.4,3.0,0.0,4.0,0.0,21.0,54.0,1.0,7.6(25),318.0,150.0,0.0,6.0,1015.0,0.1,3.0,0.0,16.0,0.0,16.8,0.0,18.0,24.3,0.0,959.5(22),0.0,1.0,02/16.1(18),0.0,,,
1986-8,1505,17.0(17),8.0,68.0,0.0,6.0,7.3,971.5(29),1017.2,965.8,10.1,31.0(14),15.2,2.0,0.0,0.0,2.0,23.0,52.0,8.0,2.8(29),235.0,135.0,0.0,8.0,997.0,35.4,9.0,0.0,13.0,0.0,18.0,0.0,16.9,23.6,0.0,957.2(18),5.0,0.0,23/15.0(17),0.0,,,
1986-9,1505,49.8(14),12.0,78.0,0.0,10.0,4.2,975.9(20),1018.5,967.0,11.4,32.0(02),16.4,2.0,0.0,2.0,4.0,16.0,34.0,12.0,5.0(30),203.0,149.0,2.0,10.0,591.0,130.7,14.0,2.0,10.0,0.0,13.6,0.0,16.9,22.4,0.0,953.2(15),8.0,3.0,18/18.1(12),0.0,,,
1987-10,1505,65.8(14),19.0,81.0,0.0,6.0,2.3,969.0(25),1012.2,960.0,7.8,21.6(01),12.2,0.0,0.0,0.0,9.0,12.0,21.0,27.0,0.4(22),216.0,114.0,4.0,8.0,621.0,337.7,27.0,1.0,13.0,0.0,10.2,0.0,11.7,15.6,0.0,931.2(15),22.0,11.0,18/33.9(15),1.0,12.6,12.3,13.7
1987-11,1505,31.4(24),16.0,87.0,0.0,10.0,2.4,980.3(20),1020.6,967.4,4.3,21.8(04),10.6,0.0,0.0,1.0,5.0,13.0,25.0,16.0,-4.0(30),134.0,102.0,1.0,8.0,250.0,111.0,15.0,0.0,6.0,3.0,4.4,1.0,8.6,13.0,0.0,948.3(24),11.0,5.0,22/21.7(13),0.0,9.8,9.2,11.2
1987-12,1505,26.0(30),10.0,78.0,0.0,6.0,2.9,980.6(29),1016.3,963.4,4.9,20.4(17),15.0,0.0,,1.0,3.0,20.0,32.0,17.0,-3.4(01),207.0,92.0,0.0,,483.0,100.9,17.0,0.0,13.0,4.0,8.6,0.0,8.9,12.9,,941.9(13),13.0,12.0,13/30.0(04),1.0,8.0,7.8,8.7
1987-13,1505,65.8(14/oct),139.0,76.0,2.0,93.0,4.6,982.4(30/mar),1017.3,964.9,6.6,35.2(12/ago),17.4,20.0,,33.0,38.0,191.0,36.0,175.0,-6.6(21/feb),216.0,112.0,6.0,,7746.0,1165.6,171.0,12.0,11.0,45.0,0.4,7.0,12.0,17.3,,931.2(15/oct),130.0,42.0,18/33.9(15/oct),2.0,,,
1987-1,1505,10.8(14),15.0,82.0,0.0,8.0,3.2,976.9(04),1018.7,964.8,0.1,16.8(24),10.4,0.0,0.0,6.0,2.0,10.0,34.0,17.0,-6.4(13),133.0,74.0,0.0,5.0,329.0,59.3,14.0,0.0,5.0,18.0,0.4,3.0,5.2,10.2,0.0,941.8(29),12.0,0.0,32/13.9(13),0.0,,,
1987-2,1505,17.6(16),12.0,80.0,0.0,7.0,3.2,979.1(07),1017.0,963.7,2.2,20.6(28),12.4,0.0,0.0,2.0,1.0,14.0,30.0,18.0,-6.6(21),222.0,83.0,0.0,3.0,473.0,73.2,15.0,0.0,9.0,10.0,4.4,3.0,7.0,11.7,0.0,934.7(11),13.0,2.0,18/16.9(01),0.0,,,
1987-3,1505,16.6(24),13.0,71.0,0.0,7.0,4.3,982.4(30),1019.5,966.5,3.5,23.8(01),10.2,0.0,0.0,2.0,2.0,16.0,36.0,15.0,-4.0(20),266.0,86.0,0.0,5.0,656.0,62.6,16.0,0.0,12.0,8.0,9.4,0.0,9.2,14.9,0.0,953.0(24),12.0,3.0,18/16.1(24),0.0,9.8,10.2,9.8
1987-4,1505,26.1(23),14.0,72.0,1.0,4.0,4.1,977.9(12),1015.3,962.9,6.5,25.4(27),10.6,0.0,0.0,1.0,4.0,15.0,30.0,18.0,1.0(03),296.0,100.0,0.0,3.0,669.0,113.8,20.0,2.0,13.0,0.0,8.2,0.0,11.6,16.6,0.0,934.9(03),14.0,3.0,18/18.9(04),0.0,11.5,12.3,10.8
1987-5,1505,32.7(09),7.0,67.0,1.0,7.0,7.9,976.5(04),1018.4,966.1,5.3,27.0(08),9.2,0.0,0.0,6.0,2.0,18.0,54.0,5.0,-0.4(18),279.0,99.0,1.0,4.0,915.0,54.2,5.0,4.0,13.0,2.0,13.0,0.0,11.8,18.3,0.0,954.9(23),4.0,0.0,03/15.0(03),0.0,15.3,16.6,14.0
1987-6,1505,22.9(12),11.0,74.0,0.0,7.0,6.1,976.1(16),1019.1,967.3,9.4,33.0(28),14.6,1.0,0.0,3.0,2.0,14.0,40.0,15.0,2.4(17),262.0,133.0,0.0,2.0,702.0,65.4,15.0,0.0,12.0,0.0,13.2,0.0,15.0,20.7,0.0,955.7(10),12.0,0.0,22/15.0(07),0.0,18.0,19.5,16.2
1987-7,1505,14.9(15),8.0,76.0,0.0,6.0,6.8,972.6(26),1017.4,966.1,12.3,32.0(10),16.2,1.0,0.0,2.0,2.0,21.0,45.0,9.0,6.8(19),309.0,157.0,0.0,5.0,803.0,48.9,9.0,1.0,16.0,0.0,18.4,0.0,17.4,22.4,0.0,956.5(17),6.0,0.0,23/13.9(16),0.0,20.8,22.2,18.9
1987-8,1505,9.8(31),7.0,73.0,0.0,13.0,6.7,971.9(01),1016.1,965.1,12.0,35.2(12),17.4,7.0,0.0,1.0,0.0,23.0,48.0,9.0,6.0(26),174.0,161.0,0.0,9.0,887.0,29.6,9.0,3.0,12.0,0.0,20.4,0.0,18.8,25.6,0.0,960.7(07),4.0,1.0,05/16.1(27),0.0,21.2,22.6,19.6
1987-9,1505,28.6(21),7.0,70.0,0.0,12.0,5.2,973.4(06),1017.0,965.9,11.2,35.0(16),15.4,11.0,0.0,8.0,6.0,15.0,42.0,9.0,7.0(30),99.0,148.0,0.0,10.0,958.0,109.0,9.0,1.0,8.0,0.0,17.0,0.0,18.7,26.2,0.0,946.6(25),7.0,5.0,09/18.9(20),0.0,19.4,20.6,18.6
1988-10,1505,38.4(13),14.0,76.0,0.0,8.0,5.1,971.5(01),1014.1,962.1,6.7,26.4(03),12.8,0.0,0.0,0.0,3.0,17.0,46.0,19.0,0.8(02),,116.0,1.0,7.0,766.0,97.1,19.0,0.0,12.0,0.0,13.4,0.0,13.1,19.6,0.0,947.7(13),12.0,,,,13.9,13.8,14.4
1988-11,1505,14.6(30),8.0,83.0,0.0,18.0,4.8,974.9(18),1018.4,965.4,3.2,22.4(04),12.4,0.0,0.0,4.0,2.0,18.0,49.0,7.0,-7.4(24),132.0,103.0,0.0,17.0,395.0,38.7,8.0,0.0,6.0,8.0,9.0,0.0,9.5,15.8,0.0,950.9(30),4.0,0.0,30/15.0(30),0.0,10.2,9.7,11.7
1988-12,1505,7.8(02),8.0,85.0,0.0,10.0,4.6,983.1(19),1029.8,975.4,-0.3,15.8(26),9.2,0.0,0.0,10.0,0.0,13.0,50.0,7.0,-9.4(31),177.0,78.0,0.0,9.0,388.0,18.1,7.0,0.0,10.0,16.0,2.0,0.0,5.4,11.0,0.0,947.5(01),6.0,0.0,04/13.1(13),0.0,5.9,5.0,7.7
1988-13,1505,38.4(13/oct),148.0,77.0,4.0,114.0,5.1,983.1(19/dic),1018.4,965.9,6.0,37.8(07/sep),16.8,6.0,0.0,25.0,32.0,192.0,41.0,178.0,-9.4(31/dic),,111.0,2.0,84.0,6548.0,906.7,178.0,10.0,13.0,46.0,2.0,4.0,11.6,17.1,0.0,947.0(29/ene),129.0,,,,13.1,13.4,12.9
1988-1,1505,34.8(05),20.0,83.0,0.0,3.0,1.7,978.4(08),1016.4,963.2,4.7,13.4(05),8.8,0.0,0.0,0.0,7.0,10.0,18.0,26.0,-0.6(11),388.0,90.0,1.0,1.0,429.0,182.8,26.0,0.0,20.0,2.0,6.6,0.0,7.8,10.9,0.0,947.0(29),21.0,12.0,23/21.9(29),0.0,7.3,6.9,8.0
1988-2,1505,18.0(05),15.0,78.0,0.0,2.0,3.5,975.9(10),1020.3,966.8,2.3,18.6(14),7.6,0.0,0.0,3.0,4.0,11.0,32.0,19.0,-1.6(19),292.0,80.0,0.0,2.0,373.0,94.1,17.0,0.0,16.0,8.0,7.2,2.0,7.0,11.6,0.0,950.6(06),14.0,7.0,25/21.9(01),0.0,7.1,7.0,7.8
1988-3,1505,13.0(20),14.0,74.0,1.0,5.0,4.6,979.1(11),1023.2,969.8,2.0,21.0(18),9.6,0.0,0.0,3.0,3.0,14.0,39.0,16.0,-4.6(03),232.0,84.0,0.0,3.0,492.0,62.6,14.0,0.0,14.0,11.0,8.6,2.0,8.2,14.3,0.0,957.2(03),9.0,2.0,23/16.1(15),0.0,8.5,9.2,8.6
1988-4,1505,15.7(30),18.0,78.0,3.0,9.0,3.9,971.5(01),1014.1,961.6,5.5,24.0(21),12.2,0.0,0.0,0.0,3.0,12.0,29.0,25.0,-1.0(28),252.0,100.0,0.0,6.0,436.0,133.2,22.0,0.0,13.0,1.0,7.4,0.0,10.2,14.9,0.0,952.6(17),21.0,2.0,18/16.9(30),0.0,11.2,11.8,10.6
1988-5,1505,17.3(01),23.0,78.0,0.0,8.0,4.0,973.2(09),1013.4,961.3,7.6,25.6(21),12.2,0.0,0.0,0.0,3.0,8.0,27.0,23.0,3.6(12),241.0,116.0,0.0,6.0,544.0,99.8,23.0,1.0,15.0,0.0,12.0,0.0,12.4,17.2,0.0,948.3(02),16.0,2.0,23/18.9(01),0.0,14.3,15.0,13.2
1988-6,1505,17.6(11),12.0,79.0,0.0,13.0,5.5,971.4(01),1014.6,963.0,9.9,23.4(19),14.0,0.0,0.0,0.0,5.0,18.0,36.0,15.0,3.0(05),230.0,139.0,0.0,4.0,533.0,112.9,15.0,9.0,12.0,0.0,14.0,0.0,15.0,20.1,0.0,952.5(09),14.0,0.0,24/15.0(30),0.0,18.0,19.0,16.3
