fecha,p_mes,n_llu,ta_max,ta_min,tm_mes,tm_max,tm_min
1985,1045.01,180.23,35.72,-6.65,12.21,17.78,6.6
1986,996.5,180.0,35.02,-5.01,11.3,16.5,6.1
1987,1165.6,171.0,35.21,-6.62,12.0,17.3,6.6
1988,906.7,178.0,37.81,-9.43,11.6,17.1,6.0
1989,995.3,149.0,36.02,-9.2,12.6,18.8,6.4
1990,780.1,155.0,41.22,-6.21,12.3,18.4,6.3
1991,917.1,180.23,34.81,-6.22,11.4,16.7,6.1
1992,903.2,179.0,35.03,-7.8,11.3,16.9,5.7
1993,1089.3,196.0,35.62,-6.02,11.2,16.5,5.8
1994,1141.3,193.0,32.62,-4.41,11.9,17.2,6.6
1995,1166.7,190.0,38.02,-5.82,12.5,18.0,7.0
1996,1133.0,190.0,35.72,-6.65,12.21,17.78,6.6
1997,1098.1,184.0,30.82,-6.8,12.8,18.4,7.2
1998,942.0,188.0,36.21,-5.01,12.2,17.8,6.5
1999,1233.3,195.0,32.21,-5.41,11.7,17.0,6.5
2000,1340.7,198.0,35.02,-6.93,11.8,17.4,6.2
2001,1045.01,180.23,35.72,-6.65,12.21,17.78,6.6
2002,1045.01,180.23,35.72,-6.65,12.21,17.78,6.6
2003,1111.0,182.0,39.11,-7.31,12.4,18.1,6.6
2004,822.9,167.0,35.83,-7.8,11.7,17.2,6.1
2005,824.3,167.0,35.33,-10.02,11.9,17.7,5.9
2006,1157.5,159.0,37.7,-7.83,12.8,18.7,7.0
2007,734.4,164.0,35.6,-8.42,11.8,17.7,5.9
2008,1222.3,196.0,31.8,-6.62,12.0,17.7,6.3
2009,1208.6,180.23,34.31,-8.02,12.3,17.9,6.6
2010,1303.9,179.0,35.82,-9.21,12.0,17.6,6.4
2011,903.3,158.0,36.43,-5.23,13.0,18.9,7.1
2012,781.8,176.0,36.61,-7.0,12.2,18.0,6.3
2013,1320.2,179.0,36.02,-7.91,12.3,17.6,6.9
2014,1148.9,197.0,35.0,-5.73,12.9,18.1,7.7
2015,752.2,169.0,35.13,-4.5,13.1,18.8,7.3
2016,1157.6,171.0,38.42,-6.03,12.4,17.9,6.8
2017,786.4,171.0,39.12,-6.32,12.8,18.7,6.8
2018,1225.7,203.0,35.6,-4.32,12.5,17.4,7.5
2019,1275.4,200.0,34.82,-7.21,12.4,18.0,6.8
2020,1056.4,203.0,36.73,-4.1,13.3,18.7,7.9
2021,1045.01,180.23,33.7,-4.91,12.5,17.9,7.0
2022,928.8,180.23,35.72,-6.65,12.21,17.78,6.6
