fecha,tmed,prec,tmin,tmax
1973-12-31,14.33,1.54,9.07,19.58
1974-12-31,14.33,1.7,9.22,19.42
1975-12-31,14.41,1.76,9.38,19.43
1976-12-31,14.32,1.86,9.25,19.39
1977-12-31,14.41,2.04,9.55,19.25
1978-12-31,14.52,1.83,9.44,19.56
1979-12-31,14.64,2.16,9.72,19.53
1980-12-31,14.5,1.6,9.29,19.67
1981-12-31,14.62,1.57,9.38,19.84
1982-12-31,15.2,1.72,10.19,20.21
1983-12-31,15.25,1.52,10.0,20.51
1984-12-31,14.36,1.9,9.32,19.4
1985-12-31,14.96,1.62,9.7,20.23
1986-12-31,14.82,1.65,9.68,19.95
1987-12-31,15.34,1.99,10.3,20.38
1988-12-31,15.02,1.67,9.9,20.13
1989-12-31,15.71,1.92,10.53,20.9
1990-12-31,15.4,1.49,10.2,20.61
1991-12-31,14.66,1.54,9.46,19.85
1992-12-31,14.45,1.54,9.21,19.68
1993-12-31,14.15,1.53,8.98,19.31
1994-12-31,15.19,1.47,9.89,20.49
1995-12-31,15.5,1.48,10.24,20.75
1996-12-31,14.64,2.04,9.67,19.62
1997-12-31,15.66,1.91,10.66,20.66
1998-12-31,15.09,1.36,9.94,20.24
1999-12-31,14.93,1.55,9.89,19.98
2000-12-31,15.03,1.65,9.86,20.19
2001-12-31,15.3,1.55,10.23,20.38
2002-12-31,15.29,1.78,10.32,20.25
2003-12-31,15.58,1.8,10.59,20.57
2004-12-31,15.16,1.5,10.12,20.2
2005-12-31,15.08,1.24,9.79,20.37
2006-12-31,15.81,1.55,10.71,20.9
2007-12-31,15.14,1.46,9.96,20.32
2008-12-31,14.93,1.77,9.89,19.98
2009-12-31,15.74,1.62,10.45,21.04
2010-12-31,15.01,2.08,10.02,20.01
2011-12-31,15.73,1.45,10.45,21.03
2012-12-31,15.14,1.45,9.74,20.55
2013-12-31,14.87,1.91,9.79,19.95
2014-12-31,15.7,1.77,10.58,20.81
2015-12-31,15.86,1.37,10.45,21.27
2016-12-31,15.53,1.76,10.33,20.73
2017-12-31,15.91,1.32,10.22,21.6
2018-12-31,15.31,2.05,10.25,20.37
2019-12-31,15.63,1.63,10.13,21.13
2020-12-31,16.0,1.71,10.73,21.27
2021-12-31,15.54,1.67,10.3,20.77
2022-12-31,16.56,1.54,11.1,22.01
