fecha,tmed,prec,tmin,tmax
1973-12-31,7.32,2.22,3.15,11.49
1974-12-31,6.82,2.51,2.81,10.83
1975-12-31,6.9,2.78,3.04,10.76
1976-12-31,6.39,3.42,2.63,10.15
1977-12-31,6.74,3.28,2.95,10.52
1978-12-31,7.85,3.19,3.71,11.99
1979-12-31,7.05,4.24,3.15,10.93
1980-12-31,6.68,2.76,2.6,10.77
1981-12-31,6.84,2.92,2.74,10.95
1982-12-31,7.2,2.26,3.53,10.85
1983-12-31,7.9,2.11,4.07,11.67
1984-12-31,6.36,3.22,2.36,10.35
1985-12-31,7.26,1.91,3.17,11.34
1986-12-31,7.53,2.05,3.48,11.58
1987-12-31,7.78,2.82,3.84,11.71
1988-12-31,8.23,2.51,4.35,12.12
1989-12-31,7.66,3.19,3.84,11.47
1990-12-31,7.48,2.22,3.45,11.41
1991-12-31,7.68,2.2,3.57,11.66
1992-12-31,7.55,2.73,3.53,11.51
1993-12-31,6.93,2.73,2.97,10.78
1994-12-31,8.36,2.3,4.13,12.5
1995-12-31,8.75,2.26,4.54,12.73
1996-12-31,7.7,3.83,3.9,11.54
1997-12-31,8.84,3.03,4.72,12.89
1998-12-31,8.54,2.01,4.47,12.56
1999-12-31,8.17,2.21,4.21,12.13
2000-12-31,8.3,2.23,4.26,12.34
2001-12-31,8.05,2.07,4.01,12.1
2002-12-31,7.9,3.0,4.01,11.75
2003-12-31,8.91,2.69,4.72,13.1
2004-12-31,7.44,2.08,3.16,11.7
2005-12-31,7.59,2.02,3.1,12.1
2006-12-31,8.96,2.26,4.5,13.42
2007-12-31,7.95,2.14,3.46,12.45
2008-12-31,7.91,2.22,3.5,12.32
2009-12-31,9.12,1.83,4.49,13.73
2010-12-31,8.03,2.99,3.74,12.32
2011-12-31,8.61,2.43,4.21,13.02
2012-12-31,7.76,2.13,3.15,12.37
2013-12-31,7.75,3.02,3.42,12.08
2014-12-31,7.79,3.49,3.56,12.03
2015-12-31,9.1,2.12,4.47,13.72
2016-12-31,8.32,3.28,3.85,12.78
2017-12-31,9.27,2.06,4.41,14.12
2018-12-31,8.8,3.0,4.62,12.97
2019-12-31,8.67,2.52,4.04,13.3
2020-12-31,8.68,2.56,4.39,12.98
2021-12-31,8.18,2.3,3.91,12.45
2022-12-31,9.74,2.34,5.41,14.06
