fecha,tmed,prec,tmin,tmax
1973-12-31,13.44,3.44,9.36,17.51
1974-12-31,13.26,4.21,9.35,17.16
1975-12-31,13.53,3.75,9.64,17.42
1976-12-31,13.48,3.63,9.38,17.58
1977-12-31,13.59,4.3,9.72,17.46
1978-12-31,13.56,4.15,9.64,17.49
1979-12-31,13.66,4.92,9.69,17.63
1980-12-31,13.44,3.8,9.42,17.46
1981-12-31,13.65,3.66,9.55,17.75
1982-12-31,14.11,3.81,10.16,18.06
1983-12-31,14.12,3.65,9.96,18.28
1984-12-31,13.16,4.44,9.14,17.18
1985-12-31,13.69,3.64,9.45,17.94
1986-12-31,13.02,3.89,9.12,16.93
1987-12-31,13.9,3.91,9.9,17.89
1988-12-31,13.8,3.29,9.72,17.89
1989-12-31,14.57,3.05,10.12,19.01
1990-12-31,14.23,3.3,10.0,18.46
1991-12-31,13.21,3.32,9.24,17.19
1992-12-31,13.32,3.57,9.34,17.29
1993-12-31,13.38,3.45,9.33,17.41
1994-12-31,13.7,3.61,9.73,17.66
1995-12-31,14.32,3.63,10.32,18.33
1996-12-31,13.66,3.74,9.8,17.53
1997-12-31,14.67,3.53,10.81,18.54
1998-12-31,13.63,2.91,9.71,17.56
1999-12-31,13.51,3.34,9.74,17.28
2000-12-31,13.36,3.53,9.54,17.19
2001-12-31,13.47,3.19,9.58,17.36
2002-12-31,13.65,3.47,9.96,17.34
2003-12-31,13.95,3.35,10.16,17.75
2004-12-31,13.33,2.73,9.54,17.13
2005-12-31,13.29,2.79,9.3,17.28
2006-12-31,14.19,2.9,10.21,18.17
2007-12-31,13.48,2.55,9.55,17.42
2008-12-31,13.33,3.44,9.38,17.28
2009-12-31,13.65,3.39,9.62,17.69
2010-12-31,13.19,3.46,9.29,17.09
2011-12-31,14.15,2.59,10.14,18.16
2012-12-31,13.3,2.92,9.29,17.32
2013-12-31,13.22,4.09,9.45,16.98
2014-12-31,14.28,3.6,10.41,18.16
2015-12-31,14.23,2.88,10.19,18.27
2016-12-31,13.83,3.47,9.83,17.83
2017-12-31,14.01,2.87,9.85,18.18
2018-12-31,13.91,3.6,10.15,17.67
2019-12-31,13.79,3.68,9.71,17.87
2020-12-31,14.54,3.37,10.59,18.48
2021-12-31,13.81,3.36,9.91,17.7
2022-12-31,14.83,2.79,10.74,18.93
