Total Nacional;Comunidades y Ciudades Autónomas;Origen del agua;periodo;Total
España;;Total;2018;17.326.575
España;;Total;2016;18.409.534
España;;Total;2015;18.639.889
España;;Total;2014;19.702.748
España;;Total;2013;18.319.713
España;;Total;2012;19.658.549
España;;Total;2011;18.910.389
España;;Total;2010;17.851.961
España;;Total;2009;18.751.474
España;;Total;2008;17.346.247
España;;Total;2007;17.780.196
España;;Total;2006;17.473.578
España;;Total;2005;18.129.646
España;;Total;2004;20.414.793
España;;Total;2003;21.145.615
España;;Total;2002;20.736.692
España;;Total;2001;21.957.012
España;;Total;2000;22.171.768
España;;Aguas superficiales;2018;12.870.064
España;;Aguas superficiales;2016;13.812.391
España;;Aguas superficiales;2015;14.054.770
España;;Aguas superficiales;2014;14.905.915
España;;Aguas superficiales;2013;14.066.146
España;;Aguas superficiales;2012;15.120.576
España;;Aguas superficiales;2011;14.792.098
España;;Aguas superficiales;2010;14.474.666
España;;Aguas superficiales;2009;14.647.639
España;;Aguas superficiales;2008;13.629.292
España;;Aguas superficiales;2007;13.853.234
España;;Aguas superficiales;2006;13.929.893
España;;Aguas superficiales;2005;14.755.383
España;;Aguas superficiales;2004;19.027.663
España;;Aguas superficiales;2003;19.857.464
España;;Aguas superficiales;2002;19.558.938
España;;Aguas superficiales;2001;19.774.797
España;;Aguas superficiales;2000;20.465.481
España;;Aguas subterráneas;2018;4.142.241
España;;Aguas subterráneas;2016;4.249.215
España;;Aguas subterráneas;2015;4.245.652
España;;Aguas subterráneas;2014;4.424.694
España;;Aguas subterráneas;2013;3.919.820
España;;Aguas subterráneas;2012;4.225.883
España;;Aguas subterráneas;2011;3.848.032
España;;Aguas subterráneas;2010;3.168.585
España;;Aguas subterráneas;2009;3.875.651
España;;Aguas subterráneas;2008;3.542.803
España;;Aguas subterráneas;2007;3.744.314
España;;Aguas subterráneas;2006;3.319.011
España;;Aguas subterráneas;2005;3.189.613
España;;Aguas subterráneas;2004;1.158.781
España;;Aguas subterráneas;2003;936.645
España;;Aguas subterráneas;2002;915.974
España;;Aguas subterráneas;2001;1.244.428
España;;Aguas subterráneas;2000;905.999
España;;Otros recursos hídricos;2018;314.269
España;;Otros recursos hídricos;2016;347.928
España;;Otros recursos hídricos;2015;339.467
España;;Otros recursos hídricos;2014;372.139
España;;Otros recursos hídricos;2013;333.747
España;;Otros recursos hídricos;2012;312.090
España;;Otros recursos hídricos;2011;270.259
España;;Otros recursos hídricos;2010;208.710
España;;Otros recursos hídricos;2009;228.184
España;;Otros recursos hídricos;2008;174.152
España;;Otros recursos hídricos;2007;182.648
España;;Otros recursos hídricos;2006;224.674
España;;Otros recursos hídricos;2005;184.650
España;;Otros recursos hídricos;2004;228.349
España;;Otros recursos hídricos;2003;351.506
España;;Otros recursos hídricos;2002;261.780
España;;Otros recursos hídricos;2001;937.787
España;;Otros recursos hídricos;2000;800.288
España;Andalucía;Total;2018;4.577.345
España;Andalucía;Total;2016;4.335.032
España;Andalucía;Total;2015;4.473.718
España;Andalucía;Total;2014;4.519.306
España;Andalucía;Total;2013;3.981.768
España;Andalucía;Total;2012;3.836.112
España;Andalucía;Total;2011;4.156.174
España;Andalucía;Total;2010;4.191.876
España;Andalucía;Total;2009;4.171.899
España;Andalucía;Total;2008;3.815.665
España;Andalucía;Total;2007;3.954.654
España;Andalucía;Total;2006;4.205.718
España;Andalucía;Total;2005;4.465.639
España;Andalucía;Total;2004;4.851.056
España;Andalucía;Total;2003;5.211.260
España;Andalucía;Total;2002;5.303.137
España;Andalucía;Total;2001;5.142.150
España;Andalucía;Total;2000;5.110.436
España;Andalucía;Aguas superficiales;2018;3.153.791
España;Andalucía;Aguas superficiales;2016;3.060.533
España;Andalucía;Aguas superficiales;2015;3.129.850
España;Andalucía;Aguas superficiales;2014;3.186.112
España;Andalucía;Aguas superficiales;2013;2.857.820
España;Andalucía;Aguas superficiales;2012;2.733.248
España;Andalucía;Aguas superficiales;2011;2.975.172
España;Andalucía;Aguas superficiales;2010;3.538.686
España;Andalucía;Aguas superficiales;2009;3.354.051
España;Andalucía;Aguas superficiales;2008;2.925.341
España;Andalucía;Aguas superficiales;2007;3.089.097
España;Andalucía;Aguas superficiales;2006;3.367.536
España;Andalucía;Aguas superficiales;2005;3.934.093
España;Andalucía;Aguas superficiales;2004;4.613.699
España;Andalucía;Aguas superficiales;2003;4.894.410
España;Andalucía;Aguas superficiales;2002;5.059.186
España;Andalucía;Aguas superficiales;2001;4.864.846
España;Andalucía;Aguas superficiales;2000;4.779.403
España;Andalucía;Aguas subterráneas;2018;1.364.049
España;Andalucía;Aguas subterráneas;2016;1.222.479
España;Andalucía;Aguas subterráneas;2015;1.294.046
España;Andalucía;Aguas subterráneas;2014;1.283.483
España;Andalucía;Aguas subterráneas;2013;1.070.461
España;Andalucía;Aguas subterráneas;2012;1.058.258
España;Andalucía;Aguas subterráneas;2011;1.142.852
España;Andalucía;Aguas subterráneas;2010;628.277
España;Andalucía;Aguas subterráneas;2009;798.101
España;Andalucía;Aguas subterráneas;2008;864.633
España;Andalucía;Aguas subterráneas;2007;845.073
España;Andalucía;Aguas subterráneas;2006;791.395
España;Andalucía;Aguas subterráneas;2005;515.753
España;Andalucía;Aguas subterráneas;2004;193.151
España;Andalucía;Aguas subterráneas;2003;265.623
España;Andalucía;Aguas subterráneas;2002;232.903
España;Andalucía;Aguas subterráneas;2001;247.273
España;Andalucía;Aguas subterráneas;2000;197.676
España;Andalucía;Otros recursos hídricos;2018;59.505
España;Andalucía;Otros recursos hídricos;2016;52.020
España;Andalucía;Otros recursos hídricos;2015;49.822
España;Andalucía;Otros recursos hídricos;2014;49.711
España;Andalucía;Otros recursos hídricos;2013;53.487
España;Andalucía;Otros recursos hídricos;2012;44.606
España;Andalucía;Otros recursos hídricos;2011;38.150
España;Andalucía;Otros recursos hídricos;2010;24.913
España;Andalucía;Otros recursos hídricos;2009;19.747
España;Andalucía;Otros recursos hídricos;2008;25.691
España;Andalucía;Otros recursos hídricos;2007;20.484
España;Andalucía;Otros recursos hídricos;2006;46.787
España;Andalucía;Otros recursos hídricos;2005;15.793
