Comunidad_Autonoma,periodo,Total
Andalucía,2018,4577345
Andalucía,2016,4335032
Andalucía,2015,4473718
Andalucía,2014,4519306
Andalucía,2013,3981768
Andalucía,2012,3836112
Andalucía,2011,4156174
Andalucía,2010,4191876
Andalucía,2009,4171899
Andalucía,2008,3815665
Andalucía,2007,3954654
Andalucía,2006,4205718
Andalucía,2005,4465639
Andalucía,2004,4851056
Andalucía,2003,5211260
Andalucía,2002,5303137
Andalucía,2001,5142150
Andalucía,2000,5110436
Aragón,2018,2149394
Aragón,2016,2570871
Aragón,2015,2552468
Aragón,2014,2825550
Aragón,2013,2730584
Aragón,2012,3157582
Aragón,2011,2953112
Aragón,2010,2514418
Aragón,2009,2376293
Aragón,2008,2357345
Aragón,2007,2408565
Aragón,2006,2347413
Aragón,2005,2411723
Aragón,2004,2731710
Aragón,2003,2897770
Aragón,2002,2909919
Aragón,2001,2998259
Aragón,2000,2816215
Castilla y León,2018,2290137
Castilla y León,2016,2356419
Castilla y León,2015,2825417
Castilla y León,2014,2950354
Castilla y León,2013,2615842
Castilla y León,2012,2986245
Castilla y León,2011,2710520
Castilla y León,2010,2273467
Castilla y León,2009,2381958
Castilla y León,2008,2428032
Castilla y León,2007,2497042
Castilla y León,2006,2403904
Castilla y León,2005,2550739
Castilla y León,2004,2626393
Castilla y León,2003,2696426
Castilla y León,2002,2749852
Castilla y León,2001,2921383
Castilla y León,2000,2937955
Castilla-La Mancha,2018,1805352
Castilla-La Mancha,2016,2012910
Castilla-La Mancha,2015,1757820
Castilla-La Mancha,2014,1680154
Castilla-La Mancha,2013,1826521
Castilla-La Mancha,2012,1890021
Castilla-La Mancha,2011,1639997
Castilla-La Mancha,2010,1691623
Castilla-La Mancha,2009,2014129
Castilla-La Mancha,2008,1732614
Castilla-La Mancha,2007,1931566
Castilla-La Mancha,2006,1800495
Castilla-La Mancha,2005,1902349
Castilla-La Mancha,2004,2425585
Castilla-La Mancha,2003,2195445
Castilla-La Mancha,2002,2067876
Castilla-La Mancha,2001,1910508
Castilla-La Mancha,2000,1831856
Cataluña,2018,1162260
Cataluña,2016,1317500
Cataluña,2015,1250230
Cataluña,2014,1375600
Cataluña,2013,1520354
Cataluña,2012,1728268
Cataluña,2011,1682310
Cataluña,2010,1635779
Cataluña,2009,1677164
Cataluña,2008,1756753
Cataluña,2007,1801104
Cataluña,2006,1906770
Cataluña,2005,1690818
Cataluña,2004,2261323
Cataluña,2003,1980704
Cataluña,2002,1840812
Cataluña,2001,2410332
Cataluña,2000,3593261
Comunitat Valenciana,2018,1650121
Comunitat Valenciana,2016,2078700
Comunitat Valenciana,2015,2050481
Comunitat Valenciana,2014,2375421
Comunitat Valenciana,2013,1485625
Comunitat Valenciana,2012,1726130
Comunitat Valenciana,2011,1676440
Comunitat Valenciana,2010,1764793
Comunitat Valenciana,2009,2045822
Comunitat Valenciana,2008,1618148
Comunitat Valenciana,2007,1562002
Comunitat Valenciana,2006,1679986
Comunitat Valenciana,2005,1837637
Comunitat Valenciana,2004,1996521
Comunitat Valenciana,2003,2133295
Comunitat Valenciana,2002,2002655
Comunitat Valenciana,2001,2455308
Comunitat Valenciana,2000,2391062
Extremadura,2018,1886472
Extremadura,2016,1992450
Extremadura,2015,1850472
Extremadura,2014,1796542
Extremadura,2013,1991254
Extremadura,2012,2087235
Extremadura,2011,2025147
Extremadura,2010,2112621
Extremadura,2009,2242121
Extremadura,2008,1644678
Extremadura,2007,1661275
Extremadura,2006,1484674
Extremadura,2005,1540448
Extremadura,2004,1630005
Extremadura,2003,1938564
Extremadura,2002,1687298
Extremadura,2001,1927409
Extremadura,2000,1835570
"Murcia, Región de",2018,675043
"Murcia, Región de",2016,663680
"Murcia, Región de",2015,680457
"Murcia, Región de",2014,743512
"Murcia, Región de",2013,630124
"Murcia, Región de",2012,683271
"Murcia, Región de",2011,636597
"Murcia, Región de",2010,536455
"Murcia, Región de",2009,570096
"Murcia, Región de",2008,528087
"Murcia, Región de",2007,562820
"Murcia, Región de",2006,538892
"Murcia, Región de",2005,586141
"Murcia, Región de",2004,652063
"Murcia, Región de",2003,695667
"Murcia, Región de",2002,740694
"Murcia, Región de",2001,643009
"Murcia, Región de",2000,550995
"Navarra, Comunidad Foral de",2018,578356
"Navarra, Comunidad Foral de",2016,547120
"Navarra, Comunidad Foral de",2015,560148
"Navarra, Comunidad Foral de",2014,754905
"Navarra, Comunidad Foral de",2013,853241
"Navarra, Comunidad Foral de",2012,813204
"Navarra, Comunidad Foral de",2011,719830
"Navarra, Comunidad Foral de",2010,528051
"Navarra, Comunidad Foral de",2009,691883
"Navarra, Comunidad Foral de",2008,749752
"Navarra, Comunidad Foral de",2007,567583
"Navarra, Comunidad Foral de",2006,458524
"Navarra, Comunidad Foral de",2005,458789
"Navarra, Comunidad Foral de",2004,445177
"Navarra, Comunidad Foral de",2003,525582
"Navarra, Comunidad Foral de",2002,518454
"Navarra, Comunidad Foral de",2001,650049
"Navarra, Comunidad Foral de",2000,631885
"Rioja, La",2018,229523
"Rioja, La",2016,221712
"Rioja, La",2015,298420
"Rioja, La",2014,305146
"Rioja, La",2013,326258
"Rioja, La",2012,349157
"Rioja, La",2011,316710
"Rioja, La",2010,282537
"Rioja, La",2009,277730
"Rioja, La",2008,249300
"Rioja, La",2007,228493
"Rioja, La",2006,196716
"Rioja, La",2005,198803
"Rioja, La",2004,207594
"Rioja, La",2003,214709
"Rioja, La",2002,219830
"Rioja, La",2001,224713
"Rioja, La",2000,184004
