fecha,p_mes,tm_min,ta_max,ta_min,p_mes,n_llu,tm_mes,tm_max,tm_min
1985,1045.014705882353,6.6030303030303035,35.719393939393946,-6.648666666666667,1045.014705882353,180.2258064516129,12.209090909090909,17.775757575757577,6.6030303030303035
1986,996.5,6.1,35.016,-5.01,996.5,180.0,11.3,16.5,6.1
1987,1165.6,6.6,35.212,-6.621,1165.6,171.0,12.0,17.3,6.6
1988,906.7,6.0,37.807,-9.431,906.7,178.0,11.6,17.1,6.0
1989,995.3,6.4,36.019,-9.202,995.3,149.0,12.6,18.8,6.4
1990,780.1,6.3,41.22,-6.207,780.1,155.0,12.3,18.4,6.3
1991,917.1,6.1,34.813,-6.225,917.1,180.2258064516129,11.4,16.7,6.1
1992,903.2,5.7,35.028,-7.802,903.2,179.0,11.3,16.9,5.7
1993,1089.3,5.8,35.619,-6.025,1089.3,196.0,11.2,16.5,5.8
1994,1141.3,6.6,32.623,-4.413,1141.3,193.0,11.9,17.2,6.6
1995,1166.7,7.0,38.024,-5.815,1166.7,190.0,12.5,18.0,7.0
1996,1133.0,6.6030303030303035,35.719393939393946,-6.648666666666667,1133.0,190.0,12.209090909090909,17.775757575757577,6.6030303030303035
1997,1098.1,7.2,30.823,-6.805,1098.1,184.0,12.8,18.4,7.2
1998,942.0,6.5,36.207,-5.007,942.0,188.0,12.2,17.8,6.5
1999,1233.3,6.5,32.21,-5.411,1233.3,195.0,11.7,17.0,6.5
2000,1340.7,6.2,35.017,-6.926,1340.7,198.0,11.8,17.4,6.2
2001,1045.014705882353,6.6030303030303035,35.719393939393946,-6.648666666666667,1045.014705882353,180.2258064516129,12.209090909090909,17.775757575757577,6.6030303030303035
2002,1045.014705882353,6.6030303030303035,35.719393939393946,-6.648666666666667,1045.014705882353,180.2258064516129,12.209090909090909,17.775757575757577,6.6030303030303035
2003,1111.0,6.6,39.112,-7.314,1111.0,182.0,12.4,18.1,6.6
2004,822.9,6.1,35.831,-7.802,822.9,167.0,11.7,17.2,6.1
2005,824.3,5.9,35.33,-10.023,824.3,167.0,11.9,17.7,5.9
2006,1157.5,7.0,37.705,-7.829,1157.5,159.0,12.8,18.7,7.0
2007,734.4,5.9,35.604,-8.417,734.4,164.0,11.8,17.7,5.9
2008,1222.3,6.3,31.803,-6.625,1222.3,196.0,12.0,17.7,6.3
2009,1208.6,6.6,34.308,-8.02,1208.6,180.2258064516129,12.3,17.9,6.6
2010,1303.9,6.4,35.821,-9.21,1303.9,179.0,12.0,17.6,6.4
2011,903.3,7.1,36.426,-5.227,903.3,158.0,13.0,18.9,7.1
2012,781.8,6.3,36.609,-7.004,781.8,176.0,12.2,18.0,6.3
2013,1320.2,6.9,36.021,-7.909,1320.2,179.0,12.3,17.6,6.9
2014,1148.9,7.7,35.002,-5.73,1148.9,197.0,12.9,18.1,7.7
2015,752.2,7.3,35.13,-4.501,752.2,169.0,13.1,18.8,7.3
2016,1157.6,6.8,38.418,-6.031,1157.6,171.0,12.4,17.9,6.8
2017,786.4,6.8,39.121,-6.325,786.4,171.0,12.8,18.7,6.8
2018,1225.7,7.5,35.603,-4.324,1225.7,203.0,12.5,17.4,7.5
2019,1275.4,6.8,34.823,-7.206,1275.4,200.0,12.4,18.0,6.8
2020,1056.4,7.9,36.73,-4.102,1056.4,203.0,13.3,18.7,7.9
2021,1045.014705882353,7.0,33.705,-4.907,1045.014705882353,180.2258064516129,12.5,17.9,7.0
2022,928.8,6.6030303030303035,35.719393939393946,-6.648666666666667,928.8,180.2258064516129,12.209090909090909,17.775757575757577,6.6030303030303035
